IC_Group,(All),,,
,,,,
Count of PHLAccessionNumber,Column Labels,,,
Row Labels,A,B,C,Grand Total
Alderwood Picnic Point WWTP,49,13,21,83
Arlington Water Reclamation Facility,44,14,5,63
Brightwater Treatment Plant,32,10,41,83
Chambers Creek WWTP,20,9,31,60
City of Brewster WWTP,13,17,8,38
City of Everett WWTP,52,21,9,82
City of Pasco Wastewater Treatment Plant,20,4,16,40
City of Port Townsend WWTP,21,17,23,61
City of Pullman WWTP,16,5,12,33
City of Puyallup WWTP,28,33,12,73
City of Stanwood WWTP,20,32,21,73
City of Wenatchee WWTP,34,21,21,76
City of West Richland WWTP,8,5,8,21
City of Yakima WWTP,20,26,46,92
Coupeville WWTP,8,18,17,43
Ellensburg Wastewater Treatment Facility,16,14,5,35
Ephrata WWTP,8,9,8,25
King County South Wastewater Treatment Plant,32,,13,45
LOTT Budd Inlet Water Reclamation Facility Plant,16,9,13,38
Marine Park Wastewater Treatment Facility,28,5,57,90
Mount Vernon WWTP,32,30,23,85
Nisqually WRP Influent,12,12,20,44
Oak Harbor Clean Water Facility,24,28,,52
Riverside Park Water Reclamation Facility,4,49,49,102
Salmon Creek Treatment Plant (SCTP) Influent,24,20,29,73
Spokane County Regional Water Reclamation Facility,8,49,18,75
Tacoma Central WWTP,16,15,10,41
Walla Walla Reclamation and WWTP,8,24,,32
West Point Wastewater Treatment Plant,17,9,,26
Westside Sewage Treatment Plant,41,17,23,81
Grand Total,671,535,559,1765
