"WWTPName","Total_Samples","Percent_A","Percent_B","Percent_Fail","Avg_Input_Copies"
"City of Everett WWTP",22,59.1,27.3,13.6,79.7
"Arlington Water Reclamation Facility",19,57.9,36.8,5.3,87.01
"Ellensburg Wastewater Treatment Facility",16,50,37.5,12.5,12.92
"King County South Wastewater Treatment Plant",16,50,18.8,31.2,39.97
"Alderwood Picnic Point WWTP",23,47.8,26.1,26.1,48.28
"City of West Richland WWTP",12,41.7,33.3,25,33.56
"Walla Walla Reclamation and WWTP",17,41.2,58.8,0,39.73
"City of Pasco Wastewater Treatment Plant",15,40,20,40,35.31
"Westside Sewage Treatment Plant",27,37,33.3,29.6,40.34
"Tacoma Central WWTP",19,36.8,42.1,21.1,30
"City of Puyallup WWTP",26,36,56,8,40.3
"City of Pullman WWTP",14,35.7,35.7,28.6,50.63
"LOTT Budd Inlet Water Reclamation Facility Plant",17,35.3,35.3,29.4,36.26
"Oak Harbor Clean Water Facility",23,34.8,65.2,0,28.25
"Brightwater Treatment Plant",26,34.6,19.2,46.2,40.69
"West Point Wastewater Treatment Plant",13,30.8,61.5,7.7,33.76
"Marine Park Wastewater Treatment Facility",32,30,13.3,56.7,29.88
"City of Wenatchee WWTP",31,29,41.9,29,39.89
"Mount Vernon WWTP",29,28.6,42.9,28.6,39.27
"Salmon Creek Treatment Plant (SCTP) Influent",28,28.6,39.3,32.1,30.33
"Ephrata WWTP",11,27.3,54.5,18.2,32.88
"City of Stanwood WWTP",26,26.9,50,23.1,39.34
"City of Port Townsend WWTP",23,26.1,26.1,47.8,31.98
"Chambers Creek WWTP",21,23.8,23.8,52.4,32.5
"City of Brewster WWTP",17,17.6,58.8,23.5,31.09
"City of Yakima WWTP",35,17.6,35.3,47.1,22.98
"Nisqually WRP Influent",17,17.6,35.3,47.1,69.55
"Coupeville WWTP",20,15,45,40,40.25
"Spokane County Regional Water Reclamation Facility",41,15,70,15,20.79
"Riverside Park Water Reclamation Facility",47,10.6,51.1,38.3,18.51
